u,g,r,i,z,redshift
25.10247,22.11687,20.71192,19.84338,19.43151,0.497695
20.22368,18.74553,17.79967,17.37472,17.03413,0.1235753
22.11732,19.49187,17.95254,17.37584,17.02932,0.2625837
24.00985,22.24065,21.38088,21.07976,22.01922,0.262695
20.43476,18.7624,17.96344,17.38813,17.03611,0.1612221
26.60328,22.88212,20.62315,19.37345,18.88774,0.607058
24.17439,22.19901,20.58314,19.69019,19.17956,0.4999146
19.11648,17.12407,16.12177,15.67323,15.30565,0.1102486
25.88083,21.67078,20.04652,19.26696,18.7928,0.4326629
24.86736,22.81744,21.40872,19.87754,19.47369,0.6703713
22.87155,21.79742,20.36396,19.44668,18.96837,0.4906101
25.99618,22.74366,20.58858,19.18547,18.61948,0.6311048
23.66498,21.30885,19.58161,18.82994,18.48075,0.3208706
25.23953,20.81083,18.91403,18.22248,17.80458,0.3804743
24.1997,22.22059,20.30967,19.0129,18.4407,0.6142619
24.32657,21.90969,20.38979,19.50418,18.97297,0.5175349
23.06666,22.01548,20.46846,19.39021,18.8506,0.5667871
22.25714,21.16498,20.10795,19.3447,18.83824,0.1931893
23.7846,22.66389,21.08471,20.03901,19.67859,0.5512552
19.7487,18.27815,17.45514,16.97993,16.68234,0.1480898
22.46211,21.95252,20.53231,19.52654,19.00995,0.6175558
22.4088,20.81936,19.19882,18.38651,17.96189,0.4585022
22.89241,22.52911,20.72422,19.81388,19.30607,0.4542961
21.68271,21.79261,20.35365,19.4622,19.21436,0.4946964
24.58037,23.30995,21.3226,20.10755,19.59028,0.6325144
25.24615,23.65728,21.17802,20.09184,19.7336,0.5584918
22.34204,20.99181,19.62937,18.83988,18.43326,0.4885637
20.2325,18.20067,17.22822,16.74836,16.39659,0.07939672
18.69792,17.77903,17.54279,17.41227,17.3429,0.0306626
19.55172,18.22124,17.66311,17.39444,17.14153,0.05147174
21.94509,21.13996,20.14429,19.361,19.00674,0.5733247
25.14368,22.16004,20.59668,19.64091,19.18189,0.5921804
20.50605,18.62796,17.64363,17.21225,16.86074,0.1417832
24.47161,21.75284,20.31165,19.27223,18.93553,0.523742
20.13748,18.31135,17.16698,16.70167,16.32924,0.1600244
19.99781,17.89043,16.99656,16.52744,16.15972,0.1409364
22.35325,21.55309,20.19508,19.4137,19.0589,0.5080355
20.17831,18.34498,17.47909,17.02529,16.72531,0.182287
26.12113,20.9352,19.1255,18.45119,18.01496,0.3926469
26.3161,21.83997,20.32669,19.18673,18.76126,0.5601165
19.68222,18.21812,17.40307,16.96094,16.65985,0.0827243
20.11276,18.2266,17.2301,16.78471,16.43308,0.107665
18.48631,17.35141,16.76939,16.39026,16.15441,0.09735761
19.67235,17.74755,16.56418,16.04326,15.6039,0.1445064
19.61442,18.52001,17.65882,17.25306,16.98579,0.2296457
21.3525,19.10087,17.75335,17.21671,16.83452,0.2090248
22.12886,20.92018,19.53126,18.75319,18.23573,0.194253
19.32381,17.91317,17.16472,16.71639,16.3787,0.04079395
20.71277,18.70525,17.67962,17.23846,16.86525,0.1125183
24.4601,22.47618,20.63532,19.74652,19.20433,0.4848707
23.4924,22.20469,20.30323,19.45514,19.20083,0.4407299
23.77181,22.38315,21.2382,20.14503,19.5953,0.6448885
20.12332,18.18613,17.24323,16.81525,16.46955,0.08156577
23.56861,22.07997,20.61188,19.71605,19.29768,0.5144099
22.04407,20.26355,18.52057,17.86911,17.43864,0.339947
21.88355,21.57414,21.33358,21.12613,20.61494,0.6973599
26.51452,21.04396,19.3589,18.66071,18.27737,0.4050862
24.19618,22.75958,21.0634,19.89792,19.23103,0.5936975
19.65449,18.26206,17.44017,17.04712,16.77678,0.1622666
23.83283,21.16608,19.28228,18.53535,18.16622,0.4182477
23.63525,20.64928,18.85135,18.17475,17.7803,0.387639
24.55274,21.87978,20.05308,19.03341,18.67361,0.5867203
24.21508,22.43143,20.53673,19.48661,18.91553,0.5854187
21.5968,19.4507,17.97527,17.42513,17.04613,0.2347985
20.0795,18.12766,17.06236,16.59757,16.23915,0.1294046
22.91073,21.90191,20.40458,19.36479,18.9307,0.5365074
21.38208,19.75996,18.21311,17.61944,17.2381,0.2160396
24.41001,22.01613,20.19584,19.33088,18.92545,0.4676354
22.53605,20.24128,18.60063,17.95525,17.51529,0.3611297
18.17601,16.95525,16.48862,16.21297,16.0327,0.04634763
22.91231,22.02715,20.72447,19.83725,19.55694,0.4795603
19.965,18.05485,17.02468,16.55145,16.17342,0.1313307
24.73012,21.43971,19.69676,18.82016,18.28961,0.4919556
24.33178,21.5509,20.01973,19.64236,19.42264,0.3670973
26.79689,21.82829,20.23487,19.30227,19.2908,0.5163997
19.67876,18.10032,17.32881,16.93653,16.67032,0.07810582
23.75748,23.46076,21.98294,20.65805,20.10081,0.6504005
21.32007,19.89066,19.18891,18.74771,18.39008,0.0003897557
23.46558,21.85381,20.22467,19.20017,18.62634,0.5224096
20.02653,18.51707,17.69726,17.21188,16.97847,0.06730757
24.39637,22.11922,20.40825,19.53386,19.11391,0.5383326
21.02871,18.70263,17.54291,17.06297,16.68907,0.1604375
23.46474,22.96188,21.05707,19.96495,19.43705,0.6104012
23.8743,22.33248,20.42237,19.57614,18.9776,0.4836096
21.70806,19.21972,17.67919,17.1307,16.74416,0.239253
18.89079,17.11016,16.1979,15.72986,15.37224,0.07712812
19.88163,18.02984,17.13031,16.70833,16.39182,0.07863715
24.77129,23.27023,21.1671,19.95645,19.38056,0.5975857
22.43881,20.9637,19.24117,18.48623,18.01692,0.4129624
22.64195,20.35077,18.55337,17.77264,17.37893,0.418384
24.7519,21.80654,19.71556,19.01808,18.67749,0.3401366
24.53725,22.62833,20.92911,19.93933,19.55416,0.5760086
19.28056,18.00092,17.2384,16.81566,16.50993,0.1302484
20.59322,18.49684,17.30188,16.77826,16.40238,0.2505489
24.72404,22.3705,20.60758,19.69244,19.52587,0.5911532
24.3772,22.31022,20.52107,19.54649,19.14857,0.4977844
19.55478,18.28644,17.56434,17.11729,16.87779,0.1794494
24.19373,22.04746,20.43154,19.60028,19.22278,0.4583713
23.9862,23.60743,21.51286,20.2597,19.69721,0.5964237
26.18372,21.19675,19.38938,18.71185,18.14942,0.3611017
24.82202,22.21814,20.86761,19.57248,19.16761,0.6935999
20.55116,20.13113,20.02202,19.98931,20.25068,0.2092305
19.21791,18.13693,17.6026,17.24186,17.04144,0.08909807
16.59643,14.69525,13.87477,13.4462,13.14515,0.02125578
22.83647,21.36821,19.60783,18.8563,18.28689,0.4434774
19.24578,18.2131,17.52217,17.04442,16.87064,0.1798813
25.83529,21.11641,19.32366,18.67132,18.28368,0.4035724
22.61996,20.20915,18.62039,17.91532,17.53945,0.4238051
20.71464,18.86486,17.58679,17.08693,16.76008,0.1987603
22.57183,19.75013,18.07105,17.47053,17.00242,0.2972974
23.36383,21.70858,20.27203,19.48751,19.11618,0.2832399
19.85699,18.7313,17.98062,17.51917,17.31261,0.1962206
19.63048,18.23348,17.51642,17.15124,16.88216,0.0809674
24.69655,22.67992,20.68148,19.39226,19.03085,0.6789133
21.74289,21.56708,20.57313,20.08902,19.69192,0.5264289
26.75093,22.25161,20.73678,19.63055,19.28523,0.5179347
19.92786,18.51739,17.7289,17.24399,16.87153,0.09613014
24.62341,22.52423,20.5399,19.33619,18.82439,0.5728336
24.51209,22.31375,20.72068,19.7576,19.74067,0.5975822
21.91626,20.21151,18.60752,17.97148,17.57917,0.2909403
25.64971,20.68897,18.79806,17.91341,17.49141,0.4815371
23.59581,21.61263,19.89661,19.11083,18.54788,0.471204
24.60475,22.07614,19.72364,18.95664,18.4696,0.4155253
22.31298,20.95111,19.30723,18.57642,18.1109,0.4361858
22.33474,22.8025,21.289,20.03279,19.25608,0.8685184
20.70662,18.68516,17.47012,16.98485,16.58096,0.1684124
21.56319,20.49562,19.41153,18.95794,18.56965,0.1911216
19.7353,17.84753,16.87747,16.37192,15.97246,0.07847168
25.13914,22.33338,20.52712,19.66094,19.13784,0.4774528
24.35814,22.85579,21.21721,20.33257,19.72088,0.5041066
22.92749,22.14841,20.68248,19.64439,19.10942,0.5839512
24.89399,21.90372,20.30122,19.39659,18.87232,0.5364373
22.73311,22.49835,21.12351,20.07954,19.88238,0.6823101
23.34241,21.16545,19.16734,18.44468,17.98257,0.3627468
23.07432,21.59086,19.96395,19.14204,18.75017,0.4617429
20.49763,18.41664,17.30618,16.75653,16.32513,0.1326776
19.14333,18.13101,17.53383,17.23221,17.02313,0.09706189
22.84519,22.87767,21.22642,19.88119,19.35821,0.5710176
26.90672,20.79208,19.03418,18.41244,17.95655,0.330297
22.8276,22.34586,20.92645,19.82386,19.59272,0.6084573
22.36333,21.4558,20.22064,19.28928,19.21881,0.565469
25.39908,21.61129,19.85539,19.02386,18.8803,0.423372
22.22046,21.11228,19.53504,18.96864,18.71245,0.2966679
19.48553,18.11088,17.49274,17.06534,16.83307,0.08026669
25.87224,23.59289,20.96872,19.82775,19.19844,0.6260653
24.25366,24.81852,21.82043,20.65714,19.88183,0.6728028
23.39414,22.49125,20.7998,19.70645,19.02088,0.5219598
20.26921,18.48665,17.23748,16.65751,16.19382,0.1445183
20.5845,18.53509,17.38006,16.92706,16.55706,0.1339848
20.18797,18.45191,17.65313,17.28424,16.97894,0.08521513
23.53449,21.90621,20.41319,19.41091,18.86313,0.5062956
24.81393,22.09726,20.78472,19.71084,19.36952,0.5924724
18.61849,17.10977,16.35032,15.93062,15.63245,0.08074035
23.79529,21.93782,20.28045,19.489,19.09321,0.4733031
23.93514,22.78387,21.23431,20.16624,19.80763,0.5997498
19.64475,18.06421,17.28746,16.86839,16.56659,0.07237988
19.95884,18.01582,16.92896,16.38881,15.95551,0.1235516
26.4136,22.18838,20.83138,19.66788,19.3294,0.5995664
19.4775,17.51512,16.55689,16.11598,15.75708,0.08462463
24.62488,22.08692,20.41319,19.41511,18.79843,0.5137226
20.14939,18.42319,17.43323,16.99455,16.75039,0.1573845
22.65225,21.95653,21.02871,20.17153,19.78971,0.2379429
21.4504,22.60722,20.83453,19.77706,19.19712,0.5837991
20.54573,18.42529,17.26938,16.81592,16.44063,0.165875
26.35059,21.25583,19.44003,18.74686,18.38939,0.4060671
24.6823,22.5319,20.38192,19.33251,18.87371,0.526192
23.08656,23.56096,21.93773,20.73292,19.93553,0.7877055
19.02101,17.49753,16.81768,16.42907,16.15749,0.08861189
22.3066,20.59619,18.91787,18.26749,17.92671,0.3322796
20.54701,18.51661,17.57257,17.0932,16.72388,0.1041289
23.61787,20.96234,19.25578,18.46538,18.06937,0.4527351
22.77601,21.13698,20.16286,19.01773,18.48983,0.5996668
19.19789,18.1621,17.68423,17.30951,17.1806,0.08479445
20.08782,18.33456,17.54731,17.1101,16.87873,0.07300002
22.33945,21.14409,19.7688,19.25968,18.89923,0.3471009
24.74813,21.4327,19.57457,18.83024,18.4595,0.2982225
19.4266,18.17702,17.39777,17.01737,16.79407,0.1229093
24.13087,20.0935,18.30384,17.74396,17.36741,0.3089866
23.69693,22.04911,20.39791,19.57573,19.19245,0.5020499
24.8134,22.4264,21.01003,19.79885,19.2874,0.5831183
21.88214,18.93257,17.35767,16.79317,16.43348,0.2583492
19.47869,17.95703,17.04192,16.58644,16.26695,0.1181439
23.186,22.32195,20.74152,19.7547,19.44289,0.5271031
17.17863,15.42035,14.50936,14.03708,13.60173,0.02524963
22.46086,19.92672,18.16674,17.51859,17.12545,0.3946458
22.49391,20.64798,19.71383,18.99016,18.66859,0.5908343
20.56366,18.96756,17.99859,17.49671,17.10561,0.1259797
25.65907,22.48877,20.62835,19.72647,19.32575,0.4925064
21.90249,19.33675,17.86933,17.36158,17.0194,0.2475951
20.39745,19.52715,18.92497,18.62904,18.33407,0.2531385
22.19733,20.16311,18.62913,18.01425,17.53014,0.4142253
24.34116,22.31773,20.50785,19.61527,19.05181,0.5003142
24.58287,23.27781,20.84921,19.647,19.28275,0.5425817
24.32934,22.44327,20.6873,19.72656,19.27882,0.4987516
23.23994,21.62387,19.95827,18.97665,18.48301,0.5144522
22.66907,20.45466,18.68552,18.08685,17.63649,0.3136141
19.35042,17.61593,16.72431,16.21484,15.82124,0.06570753
19.69105,18.29998,17.64493,17.27788,17.03915,0.1099988
19.07928,17.52228,16.65166,16.24893,15.95635,0.1177544
22.73324,22.43372,21.03359,19.85035,19.33738,0.768729
18.79776,18.07986,18.02903,17.85583,17.79364,0.03396206
21.75295,21.51914,20.38948,19.93107,19.48094,0.5587253
22.60228,21.52393,20.39866,19.25108,18.93215,0.7592225
22.43733,21.65867,19.89374,19.10359,18.6858,0.5009611
19.62028,17.59136,16.66542,16.2495,15.91398,0.071262
20.16067,18.19233,17.19503,16.79453,16.51383,0.07516389
21.42765,19.40684,18.1426,17.67496,17.26728,0.1934368
19.45373,17.59486,16.68158,16.26452,15.94506,0.08660586
20.69165,18.63847,17.60115,17.14165,16.7386,0.1146084
22.23193,20.06956,18.57356,17.95322,17.53964,0.3272409
18.81351,17.74089,17.30666,16.93558,16.80709,0.08782052
20.3772,18.66213,17.7134,17.23889,16.8621,0.08771656
23.71151,22.06031,20.32512,19.10277,18.57946,0.6107332
23.03469,21.30675,19.43208,18.80194,18.33233,0.3578495
18.75906,17.56383,17.08627,16.84182,16.70436,0.07238275
22.65926,22.36167,20.78306,19.8936,19.29026,0.5023555
24.6727,22.56657,22.46811,22.03398,20.87428,0.01620968
24.42067,23.21869,21.31631,20.15862,19.58103,0.5888442
18.48429,30.06294,31.20777,28.63123,15.63025,0.1108187
25.06156,22.70098,20.78053,19.97398,19.44954,0.4822331
19.469,17.46911,16.49142,16.05453,15.70727,0.09825518
24.67195,22.90195,20.9527,19.63798,19.0157,0.6028727
19.90069,18.73721,18.08303,17.63107,17.50321,0.0766554
24.4607,21.15689,19.5802,18.62908,18.12988,0.4798155
20.26339,18.6083,17.71846,17.30834,16.99465,0.1061353
23.70918,22.24896,20.5714,19.72897,19.27658,0.4426962
20.42655,18.48976,17.46777,16.95385,16.57749,0.1012159
17.98929,16.09114,15.23853,14.82271,14.49198,0.05628477
19.1086,17.67414,16.96236,16.55361,16.28782,0.08227807
19.18536,17.11875,16.12378,15.67283,15.31267,0.1023913
25.83825,22.64791,20.9543,20.00248,19.60378,0.5741622
23.34793,21.77651,20.91217,20.07195,20.09225,0.6573904
21.86036,21.24512,20.14375,19.36307,18.97044,0.5196092
24.85521,22.86599,21.09382,19.99124,19.52183,0.5314369
25.8075,22.37801,20.77079,19.69339,19.24632,0.5529073
23.75144,20.78055,19.05357,18.44277,18.01944,0.3302023
22.17509,21.42261,19.79256,18.99523,18.62508,0.4304879
23.58768,22.60318,20.89466,19.93445,19.39591,0.4722268
23.12734,22.2464,21.79621,21.47393,20.93513,0.1713571
20.49858,18.66574,17.67458,17.26064,16.95424,0.1207112
19.30074,18.20009,17.77521,17.4601,17.24445,0.04883127
24.76058,23.25802,20.99359,19.8218,19.3196,0.5531529
18.78589,17.44895,16.69724,16.29654,16.03329,0.1224726
20.53802,18.25778,17.05679,17.12213,16.25529,0.125819
19.97453,18.19693,17.2789,16.88539,16.54928,0.1115414
24.99275,22.3438,20.6675,19.60308,19.32079,0.5566916
25.15694,21.79431,20.02207,19.04185,18.50218,0.5271412
19.35118,17.35426,16.29452,15.85331,15.47972,0.1311766
22.95626,22.25718,20.47265,19.56649,18.84338,0.5294608
23.2896,22.04864,20.08011,19.11219,18.69191,0.5309566
19.13972,17.25703,16.33424,15.83835,15.46642,0.0618837
25.34301,21.4257,19.75742,18.94782,18.41838,0.5493549
20.4431,18.41136,17.28879,16.81431,16.40058,0.1063979
19.21733,17.56587,16.6864,16.27565,16.00124,0.0920658
22.53488,19.60732,18.1363,17.52794,17.10386,0.195545
18.81858,16.82588,15.88775,15.44127,15.10072,0.08945666
22.88671,21.29481,19.51961,18.86607,18.37675,0.3670751
22.44667,21.86132,20.26809,19.46576,19.05462,0.5488576
23.37418,21.59254,19.6987,19.03669,18.6051,0.3851292
21.62902,20.7525,19.16943,18.46478,17.94207,0.4387098
24.92963,21.58782,20.42271,19.4913,19.09932,0.6991767
22.60905,21.24058,19.34365,18.73944,18.2051,0.3482951
18.68192,17.0433,16.08713,15.63359,15.26133,0.09825251
17.25716,16.17572,15.61634,15.28923,15.04921,0.03964696
22.837,21.65181,19.7068,18.86419,18.57597,0.4278201
19.46269,18.21181,17.68584,17.32273,17.11437,0.07851809
26.16021,21.00678,19.1784,18.4919,18.06256,0.3636567
24.49269,22.64091,20.55699,19.5257,18.87767,0.5741392
25.80169,22.47432,20.62145,19.61265,18.93561,0.6394342
20.52631,18.59811,17.63379,17.19586,16.8038,0.1065219
22.54612,21.90957,20.15916,18.97878,18.51253,0.6003704
22.2467,20.64992,19.20687,18.66866,18.26103,0.2602327
20.72395,18.52426,17.20237,16.66304,16.27716,0.2181159
21.5496,20.18262,19.55029,19.29491,18.98672,0.1644919
25.94024,22.77166,21.07895,20.0474,19.70333,0.4978592
26.35436,22.06972,20.48727,19.55247,19.21479,0.5839593
23.37323,21.0505,19.23563,18.58674,18.17146,0.3190849
18.55149,17.43453,17.0244,16.67865,16.55134,0.06834973
22.70647,20.87184,19.14559,18.47899,18.12513,0.373575
22.18803,21.96177,20.75216,19.75248,19.26621,0.6834632
23.59062,22.62125,21.00547,20.17666,19.95432,0.4138469
23.45875,22.62513,20.7858,19.64763,19.07481,0.5901866
26.00702,21.82644,20.14179,18.92669,18.57135,0.5508791
18.29816,17.0657,16.44517,16.09273,15.8897,0.1058304
25.37745,21.84973,20.19013,19.38548,18.81598,0.4701201
19.84546,18.04518,17.13119,16.71321,16.37274,0.108855
23.00782,22.02427,20.36281,19.57333,19.08545,0.46413
22.67442,22.35219,20.72339,19.48442,18.95198,0.5899445
23.66457,20.93156,19.05068,18.30903,17.81902,0.3952533
21.81539,21.11785,20.60147,20.36441,20.05865,0.263582
23.30315,21.92124,20.36288,19.57417,19.12183,0.5169523
19.49387,18.33403,17.8526,17.47725,17.35613,0.07935563
21.35487,19.6978,18.0812,17.49217,17.12378,0.2912947
24.04666,22.32514,20.59101,19.70565,19.23205,0.4914641
20.43752,18.83394,17.8886,17.38176,17.05381,0.1174049
20.20581,18.39896,17.42541,17.03541,16.73232,0.1653458
24.7427,22.13714,20.26448,19.09589,18.57065,0.6076617
23.97334,23.32962,20.75804,19.33231,19.00725,0.6990969
23.15982,22.25053,20.32361,19.61607,19.15843,0.4162537
24.86429,22.68719,20.86605,19.88249,19.37275,0.5731933
19.45265,17.59388,16.56981,16.09388,15.71477,0.09598922
23.52929,22.29639,20.23105,19.34042,18.95538,0.4804946
22.89097,20.43909,18.61027,17.93774,17.51257,0.3793265
20.12588,18.39081,17.48001,17.0806,16.74305,0.1103495
22.51877,20.67826,18.98461,18.36022,18.03957,0.3154687
23.76466,22.21713,20.89824,19.78068,19.2487,0.6439901
23.03403,21.93193,20.34131,19.57025,19.00628,0.4914171
20.2925,18.29615,17.20365,16.74326,16.3592,0.1361056
19.23404,17.96206,17.24027,16.83698,16.58579,0.1501016
24.54987,22.01973,20.52212,19.4551,18.83548,0.52628
22.85546,18.851,17.63654,17.09228,16.68787,0.1343456
22.42396,20.57709,18.97855,18.43533,18.14793,0.3114998
20.81126,18.9312,17.94211,17.49431,17.04332,0.140055
24.14616,22.5146,20.99656,19.88123,19.41866,0.5859387
25.48855,22.49726,20.95434,19.93231,19.62754,0.5300341
19.74503,17.77239,16.66712,16.19021,15.78738,0.1461797
19.97534,18.22305,17.26115,16.82229,16.51232,0.128476
19.21933,17.96843,17.29045,16.91524,16.69259,0.1354704
24.64574,21.01939,19.07446,18.39405,17.91329,0.3450953
24.77889,23.12393,21.2062,20.11145,19.72415,0.5230975
23.33272,22.65931,21.181,19.87253,19.96519,0.5468804
20.49443,18.6955,17.50122,16.99632,16.64884,0.1699858
23.43176,23.36226,21.63786,20.51224,19.92136,0.7029067
24.1581,22.51107,20.79132,19.91099,19.36417,0.4842656
23.90835,25.92997,21.73523,20.61434,19.65525,0.8113583
25.31652,21.54148,19.78049,18.66904,18.13253,0.5410903
19.62436,18.04438,17.17727,16.72282,16.41182,0.1045775
19.41286,18.1424,17.3888,16.99199,16.73687,0.128358
25.70874,21.9323,20.41751,19.39645,19.01707,0.4914017
17.83633,24.82104,24.85001,20.36725,22.54704,0.01665281
22.69051,22.27515,20.39893,19.57393,19.06311,0.4674005
27.04012,20.80623,19.10058,18.43837,17.97145,0.3330526
17.77838,16.68204,16.24794,15.93688,15.73352,0.07976671
21.74264,21.2691,20.11826,19.13054,18.60659,0.7182627
19.61203,17.53641,16.51604,16.06355,15.73372,0.1053925
18.68823,17.60337,17.32386,17.12174,17.00394,0.0463312
24.48157,22.12144,20.57952,19.60096,18.94625,0.5492273
20.3617,18.313,17.17417,16.7213,16.3523,0.1492693
26.37672,22.57862,21.0479,19.77757,19.2064,0.5877835
21.78442,20.7341,19.59647,19.27456,18.89651,0.3782728
21.82642,20.51074,18.78661,18.11829,17.60239,0.3287513
25.41751,22.74874,20.98502,19.97503,19.49203,0.6613764
23.21889,21.1696,19.42368,18.63129,18.07434,0.3253898
19.28512,17.25879,16.07669,15.59608,15.21468,0.1471769
20.72953,18.81664,17.59964,17.11524,16.74164,0.1703586
22.24954,20.7317,18.95377,18.24282,17.84519,0.3886962
23.61835,22.52683,20.80593,19.71498,19.30816,0.4904876
20.08998,18.20776,17.1183,16.68007,16.31783,0.1306034
20.3159,19.10869,18.42382,17.91872,17.73709,0.1608784
21.43253,20.87173,19.98052,19.40421,19.17006,0.5936028
26.13191,23.93288,21.56525,20.54708,19.84113,0.550509
21.8082,21.41309,20.17038,19.39484,18.94887,0.5760838
19.42482,18.21416,17.71496,17.41987,17.27872,0.05287002
23.99196,21.46868,20.40491,19.69335,19.26563,0.2379332
19.86034,17.6359,16.55992,16.09638,15.68984,0.1123318
25.91986,21.79966,19.89137,18.86426,18.51621,0.5481796
17.73314,16.60826,16.21488,16.00497,15.87188,0.01582608
23.4957,20.68591,18.81484,18.08376,17.58947,0.3352281
23.15992,22.56012,21.13412,19.76606,19.19844,0.6904081
22.24304,20.47968,18.85223,18.16569,17.71466,0.3155653
22.78449,22.35332,20.40043,19.51755,19.13992,0.5004501
18.23563,17.11137,16.70506,16.40525,16.27918,0.07315789
22.16606,20.34306,18.55332,17.87651,17.46968,0.3775651
22.84176,21.91123,20.73393,19.73556,19.55563,0.5839857
25.62162,22.05098,20.4153,19.50865,18.9866,0.4733095
22.28932,21.42169,20.28084,19.50084,19.08972,0.411599
25.43299,22.441,20.62869,19.53852,18.97772,0.5496138
23.93623,22.41636,20.56523,19.70254,19.15744,0.4896877
24.64263,21.13356,19.45865,18.4622,18.07131,0.522374
20.54796,18.92883,17.72129,17.19317,16.78291,0.1965759
23.14919,20.83891,19.02798,18.37959,18.02153,0.3591987
23.74993,22.26214,21.11351,19.8068,19.25609,0.7252802
24.24206,24.60852,21.80354,20.51417,19.80314,0.7933801
24.23594,21.73112,20.17442,19.35621,18.88812,0.4966381
22.98514,22.01403,20.66579,19.78641,19.22321,0.5936322
23.9485,21.76521,20.20175,19.30436,18.89998,0.4960458
19.89806,18.27675,17.49445,17.06486,16.80615,0.06073694
18.10208,17.11242,16.60313,16.27641,16.05592,0.03945629
24.29027,20.35679,18.56748,17.92216,17.56382,0.3935052
19.54621,17.51514,16.45612,16.00831,15.62738,0.1109957
22.34767,21.9721,20.47505,19.65674,19.27011,0.4975281
19.71496,18.49284,17.53132,17.12048,16.84371,0.1958486
20.20387,19.12058,18.03268,17.63175,17.53542,0.2116507
22.66151,22.15117,20.40235,19.56232,18.9757,0.4462465
19.50433,18.38445,17.9648,17.68351,17.44098,0.04077197
22.29183,21.77147,20.00493,19.15243,18.64736,0.4815212
21.65262,19.27321,18.24209,17.70908,17.33941,0.05830609
17.50225,15.55252,14.66115,14.25229,13.91943,0.04712428
19.85547,18.0318,17.18122,16.77692,16.44319,0.05353258
24.84159,22.20825,20.25673,19.36413,18.82177,0.5863743
19.30981,17.35366,16.30507,15.82833,15.50133,0.1087083
18.73592,17.4272,16.80908,16.47318,16.18574,0.03648886
18.86112,17.60165,16.91373,16.54092,16.2837,0.1084851
23.05056,20.51118,18.77374,18.0977,17.675,0.3458818
20.7435,18.64721,17.47129,17.00727,16.68006,0.1487505
23.87763,21.03336,19.58719,19.00626,18.74035,0.2370794
21.94701,19.49227,17.96345,17.37893,17.02183,0.26411
21.86451,21.65491,20.51634,19.60201,18.97946,0.650038
20.47414,19.29011,18.39356,17.91655,17.60831,0.1847041
24.85724,21.72346,19.82227,18.73886,18.31005,0.540565
22.74124,21.27998,19.5292,18.74409,18.242,0.438375
19.07469,17.68375,16.94068,16.53177,16.26653,0.1045601
20.23292,18.1921,17.07276,16.55745,16.24455,0.1780514
20.96873,19.10412,17.63453,17.04159,16.65165,0.2081554
20.25728,18.75883,17.7403,17.28625,16.92428,0.1713152
26.3032,22.27459,20.48911,19.30866,18.96025,0.6190258
20.17062,18.3162,17.35085,16.90759,16.59254,0.121928
18.62635,16.82193,15.97119,15.57207,15.23805,0.06992754
20.71667,18.78953,17.76272,17.33407,16.96964,0.1129227
19.044,17.82801,17.3246,17.13573,17.06606,0.03187475
17.54884,15.75164,15.031,14.66728,14.36099,0.04028672
19.53207,17.53546,16.39384,15.92766,15.543,0.150769
22.28719,20.1635,18.39657,17.72159,17.38104,0.4247141
19.61737,17.55303,16.38435,15.89601,15.53198,0.1432766
24.74393,23.11733,21.35681,20.3038,19.86491,0.5251899
24.0811,21.79295,20.01509,19.18323,18.79448,0.4219424
25.78004,22.81767,20.8679,19.78206,19.24605,0.5800408
23.95921,21.58303,20.02296,19.11269,18.69335,0.4803199
19.43114,18.28952,17.70602,17.33708,17.11034,0.1579179
19.49586,18.35264,17.72338,17.3579,17.09851,0.1321264
20.04718,18.42693,17.5274,17.1342,16.79317,0.1094485
20.13595,18.41374,17.29733,16.84973,16.49368,0.1529897
22.36848,21.89915,21.16393,20.2826,19.96449,0.6712693
23.48861,22.14061,20.49756,19.71177,19.28024,0.4458776
24.3743,22.1073,20.51359,19.63333,19.21323,0.4808458
23.78513,22.54396,21.09668,20.03309,19.49882,0.5893384
20.82423,18.81569,17.60176,17.13234,16.75168,0.1704459
23.9073,21.83156,20.48158,19.34562,18.86048,0.5603461
23.54424,21.63176,20.02454,19.23329,18.91769,0.494476
20.27429,18.27809,16.93592,16.44137,16.10115,0.1948258
25.97009,22.48608,20.49515,19.31273,18.68158,0.6204519
18.71423,17.76911,17.44706,17.24059,17.21357,0.02538685
24.31129,22.87801,21.26737,20.27106,19.50132,0.5296893
20.3162,18.17764,17.15913,16.6942,16.28318,0.1041861
22.10865,21.6267,20.09312,19.18482,18.83495,0.5142893
25.41439,22.28452,20.68992,19.83982,19.40443,0.4148785
24.63384,22.49535,20.67914,19.48468,19.42659,0.5900866
22.14292,20.32871,18.778,17.97596,17.54419,0.4469435
20.0395,18.03071,16.98437,16.51587,16.13946,0.1117626
24.75135,20.92201,19.1649,18.50206,18.07291,0.318398
24.99888,20.91656,19.17491,18.50648,18.10752,0.3831776
22.73203,21.83965,20.53686,19.74673,19.23713,0.4372632
17.33313,16.48947,16.24734,16.05591,15.96235,0.03511947
23.55086,21.98776,20.1679,19.29417,18.87724,0.4729128
22.25183,20.37231,18.74866,18.05452,17.54575,0.2612911
18.92051,17.41899,16.78222,16.41768,16.13919,0.08689868
25.42307,22.70206,20.86905,19.79449,19.23082,0.6393315
20.57019,20.21388,19.83631,19.56806,19.1885,0.4116508
20.39234,18.51005,17.62578,17.23282,16.91168,0.08237318
20.48241,18.6476,17.67173,17.11273,16.68114,0.09309211
21.18954,18.94561,17.62113,17.0421,16.66618,0.1913074
23.85467,23.43518,20.80408,19.59924,19.05861,0.6518344
20.91913,18.9325,17.78039,17.24615,16.81408,0.1245426
